0x37CA2318, 38092251542548696, 224642466, 224642615, 149, 960x600 
0x37CA2318, 38092251545406280, 224642747, 224642782, 35, 960x600 
0x37CA2318, 38092251550725816, 224643271, 224643277, 6, 960x600 
0x37CA2318, 38092251553386840, 224643537, 224643543, 6, 960x600 
0x37CA2318, 38092251556040056, 224643796, 224643801, 5, 960x600 
0x37CA2318, 38092251558707128, 224644072, 224644078, 6, 960x600 
0x37CA2318, 38092251561364112, 224644333, 224644339, 6, 960x600 
0x37CA2318, 38092251563833576, 224644581, 224644587, 6, 960x600 
0x37CA2318, 38092251566690576, 224644866, 224644872, 6, 960x600 
0x37CA2318, 38092251569350608, 224645132, 224645138, 6, 960x600 
0x37CA2318, 38092251572012976, 224645401, 224645407, 6, 960x600 
0x37CA2318, 38092251574678720, 224645667, 224645673, 6, 960x600 
0x37CA2318, 38092251577331592, 224645931, 224645937, 6, 960x600 
0x37CA2318, 38092251579994112, 224646201, 224646208, 7, 960x600 
0x37CA2318, 38092251582657984, 224646462, 224646467, 5, 960x600 
0x37CA2318, 38092251585118328, 224646707, 224646712, 5, 960x600 
0x37CA2318, 38092251587985848, 224646992, 224646996, 4, 960x600 
0x37CA2318, 38092251590645928, 224647261, 224647266, 5, 960x600 
0x37CA2318, 38092251593308240, 224647531, 224647537, 6, 960x600 
0x37CA2318, 38092251595963664, 224647793, 224647798, 5, 960x600 
0x37CA2318, 38092251598643000, 224648062, 224648068, 6, 960x600 
0x37CA2318, 38092251601300936, 224648322, 224648327, 5, 960x600 
0x37CA2318, 38092251603757256, 224648566, 224648571, 5, 960x600 
0x37CA2318, 38092251606417224, 224648831, 224648836, 5, 960x600 
0x37CA2318, 38092251609086936, 224649097, 224649101, 4, 960x600 
0x37CA2318, 38092251611747728, 224649372, 224649376, 4, 960x600 
0x37CA2318, 38092251614418256, 224649637, 224649642, 5, 960x600 
0x37CA2318, 38092251617079608, 224649902, 224649906, 4, 960x600 
0x37CA2318, 38092251619744968, 224650173, 224650178, 5, 960x600 
0x37CA2318, 38092251622402344, 224650432, 224650436, 4, 960x600 
0x37CA2318, 38092251623057824, 224650497, 224650501, 4, 960x600 
0x37CA2318, 38092251623718112, 224650562, 224650566, 4, 960x600 
0x37CA2318, 38092251624378272, 224650626, 224650630, 4, 960x600 
0x37CA2318, 38092251625047752, 224650706, 224650723, 17, 960x600 
0x37CA2318, 38092251625703232, 224650796, 224650802, 6, 960x600 
0x37CA2318, 38092251626448160, 224650842, 224650846, 4, 960x600 
0x37CA2318, 38092251627029024, 224650896, 224650913, 17, 960x600 
0x37CA2318, 38092251627686528, 224650957, 224650962, 5, 960x600 
0x37CA2318, 38092251628346544, 224651027, 224651032, 5, 960x600 
0x37CA2318, 38092251629003720, 224651092, 224651096, 4, 960x600 
0x37CA2318, 38092251629663720, 224651156, 224651160, 4, 960x600 
0x37CA2318, 38092251630323912, 224651223, 224651228, 5, 960x600 
0x37CA2318, 38092251630983992, 224651292, 224651296, 4, 960x600 
0x37CA2318, 38092251631644016, 224651356, 224651360, 4, 960x600 
0x37CA2318, 38092251632304192, 224651428, 224651433, 5, 960x600 
0x37CA2318, 38092251632964976, 224651486, 224651490, 4, 960x600 
0x37CA2318, 38092251633625056, 224651552, 224651556, 4, 960x600 
0x37CA2318, 38092251634287256, 224651627, 224651632, 5, 960x600 
0x37CA2318, 38092251634950224, 224651691, 224651696, 5, 960x600 
0x37CA2318, 38092251635610736, 224651757, 224651762, 5, 960x600 
0x37CA2318, 38092251636276160, 224651818, 224651822, 4, 960x600 
0x37CA2318, 38092251636936696, 224651882, 224651886, 4, 960x600 
0x37CA2318, 38092251637596440, 224651951, 224651955, 4, 960x600 
0x37CA2318, 38092251638256512, 224652016, 224652020, 4, 960x600 
0x37CA2318, 38092251638916496, 224652081, 224652085, 4, 960x600 
0x37CA2318, 38092251639576456, 224652146, 224652150, 4, 960x600 
0x37CA2318, 38092251640240872, 224652221, 224652226, 5, 960x600 
0x37CA2318, 38092251640900720, 224652286, 224652291, 5, 960x600 
0x37CA2318, 38092251641561256, 224652352, 224652357, 5, 960x600 
0x37CA2318, 38092251642250984, 224652417, 224652421, 4, 960x600 
0x37CA2318, 38092251643087696, 224652507, 224652512, 5, 960x600 
0x37CA2318, 38092251643737032, 224652562, 224652566, 4, 960x600 
0x37CA2318, 38092251644398616, 224652641, 224652646, 5, 960x600 
0x37CA2318, 38092251645053120, 224652702, 224652706, 4, 960x600 
0x37CA2318, 38092251645730256, 224652767, 224652772, 5, 960x600 
0x37CA2318, 38092251646382104, 224652831, 224652836, 5, 960x600 
0x37CA2318, 38092251647043328, 224652902, 224652907, 5, 960x600 
0x37CA2318, 38092251647703304, 224652967, 224652971, 4, 960x600 
0x37CA2318, 38092251648364912, 224653032, 224653037, 5, 960x600 
0x37CA2318, 38092251649027296, 224653097, 224653102, 5, 960x600 
0x37CA2318, 38092251649696552, 224653162, 224653167, 5, 960x600 
0x37CA2318, 38092251650355344, 224653227, 224653232, 5, 960x600 
0x37CA2318, 38092251651007568, 224653292, 224653297, 5, 960x600 
0x37CA2318, 38092251651676728, 224653361, 224653366, 5, 960x600 
0x37CA2318, 38092251652327040, 224653431, 224653437, 6, 960x600 
0x37CA2318, 38092251652989288, 224653497, 224653503, 6, 960x600 
0x37CA2318, 38092251653647376, 224653556, 224653561, 5, 960x600 
0x37CA2318, 38092251654308336, 224653622, 224653627, 5, 960x600 
0x37CA2318, 38092251654961352, 224653687, 224653692, 5, 960x600 
0x37CA2318, 38092251655633040, 224653761, 224653767, 6, 960x600 
